p_block,p_section,p_coherence,p_direction1,p_direction2,p_direction_response,p_direction_RT,p_change_response,p_change_RT,p_confidence,p_full_correct,p_without5_correct,p_full_total,p_without5_total,p_full_avg,p_witout5_avg,p_total_time,sub,age,sex,handedness,loop,trial randomization,coherence,condition,direction1,direction2,direction_response,direction_RT,change_response,change_RT,change_confidence,change_confidence_RT,block_direction_avg,block_stable_avg,block_change_avg,total_time,sub,age,sex,handedness,
1,1,1.0,0,-,0,3.1684624000000667,-,-,-,,,,,,,,1000,20,Woman,Right,,,,,,,,,,,,,,,,,1000,20,Woman,Right,
1,1,1.0,180,-,180,0.27633609999998043,-,-,-,,,,,,,,1000,20,Woman,Right,,,,,,,,,,,,,,,,,1000,20,Woman,Right,
1,1,1.0,0,-,0,0.01742880000006153,-,-,-,,,,,,,,1000,20,Woman,Right,,,,,,,,,,,,,,,,,1000,20,Woman,Right,
1,1,1.0,180,-,180,0.01678689999994276,-,-,-,,,,,,,,1000,20,Woman,Right,,,,,,,,,,,,,,,,,1000,20,Woman,Right,
1,1,1.0,180,-,180,0.01685670000006212,-,-,-,,,,,,,,1000,20,Woman,Right,,,,,,,,,,,,,,,,,1000,20,Woman,Right,
1,1,1.0,180,-,180,0.016954400000031455,-,-,-,,,,,,,,1000,20,Woman,Right,,,,,,,,,,,,,,,,,1000,20,Woman,Right,
1,1,1.0,0,-,0,2.5214774999999463,-,-,-,,,,,,,,1000,20,Woman,Right,,,,,,,,,,,,,,,,,1000,20,Woman,Right,
1,1,1.0,180,-,180,0.07843880000007175,-,-,-,,,,,,,,1000,20,Woman,Right,,,,,,,,,,,,,,,,,1000,20,Woman,Right,
1,1,1.0,180,-,180,0.08621440000001712,-,-,-,,,,,,,,1000,20,Woman,Right,,,,,,,,,,,,,,,,,1000,20,Woman,Right,
1,1,1.0,180,-,180,0.7968455999999833,-,-,-,10,10,10,10,1.0,1.0,,1000,20,Woman,Right,,,,,,,,,,,,,,,,,1000,20,Woman,Right,
