p_block,p_section,p_coherence,p_direction1,p_direction2,p_direction_response,p_direction_RT,p_change_response,p_change_RT,p_confidence,p_full_correct,p_without5_correct,p_full_total,p_without5_total,p_full_avg,p_witout5_avg,p_total_time,sub,age,sex,handedness,loop,trial randomization,coherence,condition,direction1,direction2,direction_response,direction_RT,change_response,change_RT,change_confidence,change_confidence_RT,block_direction_avg,block_stable_avg,block_change_avg,total_time,sub,age,sex,handedness,
1,1,1.0,180,-,180,1.2228001999974367,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
1,1,1.0,180,-,180,0.016983299996354617,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
1,1,1.0,0,-,0,0.3047202000016114,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
1,1,1.0,180,-,180,0.016560000003664754,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
1,1,1.0,180,-,180,0.016731600000639446,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
1,1,1.0,0,-,0,0.01674190000630915,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
1,1,1.0,0,-,0,0.0762204999991809,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
1,1,1.0,180,-,180,3.9795512999990024,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
1,1,1.0,0,-,0,0.21492059999582125,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
1,1,1.0,180,-,180,0.06714270000520628,-,-,-,10,10,10,10,1.0,1.0,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
2,1,0.4,180,-,180,0.602054599999974,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
2,1,0.15,180,-,180,0.2290422000005492,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
2,1,0.4,180,-,180,0.07931449999887263,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
2,1,0.15,0,-,0,0.017412900000636,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
2,1,0.4,0,-,180,0.6716224999981932,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
2,1,0.15,0,-,0,0.6952877000003355,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
2,1,0.4,180,-,180,0.01633120000042254,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
2,1,0.15,0,-,180,0.32813009999517817,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
2,1,0.15,0,-,0,0.029770900000585243,-,-,-,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
2,1,0.4,0,-,0,0.3117966999998316,-,-,-,8,4,10,5,0.8,0.8,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
3,2,1.0,0,180,180,0.8190315000028932,['y'],4.778655900001468,1.8980000000000001,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
3,2,1.0,0,180,180,0.8440675000019837,['y'],0.8693258999992395,1.908,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
3,2,1.0,0,180,180,0.6573884000026737,['y'],0.8903203999943798,1.9,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
3,2,1.0,0,180,180,0.8622925999952713,['y'],0.9765913999945042,1.8679999999999999,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
3,2,1.0,0,180,180,0.4724562999981572,['y'],1.851500799995847,1.8780000000000001,,,,,,,,516,19,Woman,Right,,,,,,,,,,,,,,,,,516,19,Woman,Right,
