p_block,p_section,p_coherence,p_direction1,p_direction2,p_direction_response,p_direction_RT,p_change_response,p_change_RT,p_confidence,p_full_correct,p_without5_correct,p_full_total,p_without5_total,p_full_avg,p_witout5_avg,p_total_time,sub,age,sex,handedness,loop,trial randomization,coherence,condition,direction1,direction2,direction_response,direction_RT,change_response,change_RT,change_confidence,change_confidence_RT,block_direction_avg,block_stable_avg,block_change_avg,total_time,sub,age,sex,handedness,
1,1,1.0,180,-,180,0.6672754999999597,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
1,1,1.0,180,-,180,0.2997009999999136,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
1,1,1.0,180,-,180,0.016809200000352575,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
1,1,1.0,0,-,0,0.016644999999698484,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
1,1,1.0,0,-,0,1.676348400000279,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
1,1,1.0,180,-,180,0.30765579999933834,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
1,1,1.0,180,-,180,0.016799600000013015,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
1,1,1.0,180,-,180,0.016709800000171526,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
1,1,1.0,180,-,180,0.10845840000001772,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
1,1,1.0,180,-,180,0.3943764999994528,-,-,-,10,10,10,10,1.0,1.0,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
2,1,0.15,180,-,180,0.8539489000004323,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
2,1,0.4,0,-,0,0.2665708000004088,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
2,1,0.4,0,-,0,0.2609429000003729,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
2,1,0.4,0,-,0,0.32506980000016483,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
2,1,0.4,0,-,0,0.3144142999999531,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
2,1,0.4,0,-,0,0.26467850000062754,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
2,1,0.15,180,-,0,0.24042160000044532,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
2,1,0.4,0,-,0,0.3129031999997096,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
2,1,0.15,0,-,180,0.3590432000000874,-,-,-,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
2,1,0.15,180,-,0,0.2190749000001233,-,-,-,7,6,10,6,0.7,1.0,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
3,2,1.0,0,180,180,2.0551832000001014,['y'],3.333145099999456,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
3,2,1.0,180,0,0,2.5152069999994637,['y'],0.8318703000004462,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
3,2,1.0,180,0,0,1.2186997999997402,['y'],0.3790028000003076,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
3,2,1.0,180,0,0,1.567073199999868,['y'],0.40171359999931155,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
3,2,1.0,0,180,180,1.007430700000441,['y'],0.4171046999999817,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
3,2,1.0,0,180,180,0.7616169000002628,['y'],0.41206270000020595,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
3,2,1.0,0,180,180,1.072280800000044,['y'],0.5498987000000852,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
3,2,1.0,0,180,180,0.6523090000000593,['y'],0.6748987999999372,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
3,2,1.0,180,0,0,0.5998657999998613,['y'],0.6089048000003459,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
3,2,1.0,0,180,180,0.763253099999929,['y'],0.4540468000004694,2.0,10,10,10,10,1.0,1.0,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
4,2,0.15,180,0,180,1.4393193999994764,['y'],2.4949530000003506,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
4,2,0.15,0,180,180,1.4090344999995068,['y'],0.761620799999946,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
4,2,0.4,0,180,180,1.0673394999994343,['y'],0.370343600000524,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
4,2,0.15,0,180,180,0.8076304000005621,['y'],0.36752830000023096,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
4,2,0.4,0,180,180,0.610492200000408,['y'],0.3798458999999639,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
4,2,0.15,0,180,180,2.477753400000438,['y'],1.0038602000004175,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
4,2,0.4,0,180,180,1.2561353000000963,['y'],0.3362538000001223,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
4,2,0.15,180,0,0,1.2650122000004558,['n'],1.6957001000000673,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
4,2,0.4,180,0,180,1.2182996000001367,['y'],1.8896639999993567,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
4,2,0.4,180,0,0,0.6003113999995549,['y'],2.257818299999599,2.0,8,4,10,5,0.8,0.8,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
5,3,0.15,180,0,0,1.447596899999553,['y'],1.575214400000732,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
5,3,0.4,0,180,180,0.6970228000000134,['y'],0.3912850000006074,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
5,3,0.15,180,-,0,1.2690769999999247,['n'],1.1875111000008474,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
5,3,1.0,0,180,180,1.8284248999998454,['y'],0.4619399999992311,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
5,3,1.0,180,-,180,1.045851799999582,['n'],0.40592780000042694,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
5,3,0.4,180,-,180,1.0362623999999414,['n'],1.1317998000004081,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
5,3,0.4,0,180,180,0.6743559999995341,['y'],0.705079499999556,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
5,3,0.4,0,-,0,2.4840518999999404,['y'],1.7094170999998823,1.214,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
5,3,1.0,0,-,0,1.0944890999999188,['n'],0.372867000000042,2.0,,,,,,,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
5,3,0.4,0,-,180,1.2004612000000634,['n'],1.2493463999999221,1.97,8,7,10,8,0.8,0.875,,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,3.99999953515362e-06,573,18,Woman,Right,,,,,,,,,,,,,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,31,0.4,2,180,0,0,1.1124406999997518,['y'],1.1587636999993265,2.0,318.1661546000005,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,30,0.4,1,180,-,180,1.1285295000006954,['n'],0.8469584999993458,2.0,323.13312510000014,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,8,0.4,1,0,-,0,1.2163740000005419,['n'],1.6709593000005043,2.0,328.7997393000005,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,50,0.15,1,180,-,180,0.8310590999999476,['n'],1.4148877000006905,2.0,334.26639010000054,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,15,0.4,2,180,0,0,0.7789177999993626,['y'],1.2389929999999367,2.0,339.4163331,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,2,1,1,180,-,180,0.4867764000000534,['n'],1.1586228000005576,2.0,343.93319919999976,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,36,0.4,1,0,-,0,0.9383310000002894,['n'],2.2632541000002675,2.0,349.8828647999999,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,47,0.15,2,180,0,180,0.6946205000003829,['n'],1.5029882000008001,2.0,355.2336774000005,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,76,0.15,1,0,-,0,2.037178700000368,['n'],1.9347284000004947,1.798,362.38266470000053,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,65,0.15,2,0,180,0,1.2596842000002653,['n'],1.2627811000002112,1.512,368.4660780000004,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,59,0.15,2,180,0,0,1.4424453999999969,['n'],1.7428811999998288,1.5939999999999999,374.5660552999998,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,46,0.15,1,180,-,180,1.3500778999996328,['y'],1.3357772999997906,1.708,380.73266590000003,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,43,0.4,2,180,0,0,0.924076000000241,['y'],1.9270251999996617,2.0,386.7497706000004,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,55,0.15,2,180,0,0,0.9119117000000188,['y'],1.559091800000715,2.0,392.1330981000001,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,78,0.15,1,180,-,180,0.6585433999998713,['n'],1.494357300000047,2.0,397.08264430000054,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,16,0.4,1,0,-,0,0.36306970000077854,['n'],1.262960799999746,2.0,401.73264459999973,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,23,0.4,2,180,0,0,3.566819900000155,['y'],1.4706218999999692,1.05,410.2993550000001,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,14,0.4,1,180,-,180,0.9577645999997912,['n'],1.647787299999436,1.05,410.2993550000001,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,35,0.4,2,180,0,0,0.6819201999996949,['y'],1.5587267000000793,2.0,420.9328178000005,,,,,573,18,Woman,Right,
,,,,,,,,,,,,,,,,,573,18,Woman,Right,0,12,0.4,1,0,-,0,0.7235537000005934,['n'],1.0946237000007386,2.0,420.9328178000005,,,,,573,18,Woman,Right,
