p_block,p_section,p_coherence,p_direction1,p_direction2,p_direction_response,p_direction_RT,p_change_response,p_change_RT,p_confidence,p_full_correct,p_without5_correct,p_full_total,p_without5_total,p_full_avg,p_witout5_avg,p_total_time,sub,age,sex,handedness,loop,trial randomization,coherence,condition,direction1,direction2,direction_response,direction_RT,change_response,change_RT,change_confidence,change_confidence_RT,block_direction_avg,block_stable_avg,block_change_avg,total_time,sub,age,sex,handedness,
1,1,1.0,180,-,180,0.3629309000000376,-,-,-,,,,,,,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
1,1,1.0,0,-,0,0.19072129999995013,-,-,-,,,,,,,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
1,1,1.0,0,-,0,0.2655875999998898,-,-,-,,,,,,,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
1,1,1.0,180,-,180,1.2013385000000198,-,-,-,,,,,,,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
1,1,1.0,0,-,0,0.016717700000072,-,-,-,,,,,,,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
1,1,1.0,0,-,0,0.016639700000041557,-,-,-,,,,,,,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
1,1,1.0,180,-,180,0.016758299999992232,-,-,-,,,,,,,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
1,1,1.0,0,-,0,2.9506169999999656,-,-,-,,,,,,,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
1,1,1.0,0,-,0,0.5547477000000072,-,-,-,,,,,,,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
1,1,1.0,180,-,180,0.016812500000014552,-,-,-,10,10,10,10,1.0,1.0,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
2,1,0.4,180,-,180,0.26564540000003944,-,-,-,,,,,,,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
2,1,0.15,180,-,180,0.7219657999999072,-,-,-,,,,,,,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
2,1,0.15,0,-,0,0.016667999999981475,-,-,-,,,,,,,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
2,1,0.4,180,-,180,0.04846700000007331,-,-,-,,,,,,,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
2,1,0.4,180,-,180,0.016925799999853552,-,-,-,,,,,,,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
2,1,0.15,0,-,0,0.08262489999992795,-,-,-,,,,,,,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
2,1,0.15,180,-,180,0.016688199999862263,-,-,-,,,,,,,,551,18,Woman,Left,,,,,,,,,,,,,,,,,551,18,Woman,Left,
