p_block,p_section,p_coherence,p_direction1,p_direction2,p_direction_response,p_direction_RT,p_change_response,p_change_RT,p_confidence,p_full_correct,p_without5_correct,p_full_total,p_without5_total,p_full_avg,p_witout5_avg,p_total_time,sub,age,sex,handedness,loop,trial randomization,coherence,condition,direction1,direction2,direction_response,direction_RT,change_response,change_RT,change_confidence,change_confidence_RT,block_direction_avg,block_stable_avg,block_change_avg,total_time,sub,age,sex,handedness,
1,1,1.0,180,-,180,1.3448735000001761,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
1,1,1.0,180,-,0,0.5816620999994484,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
1,1,1.0,180,-,180,0.23246130000006815,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
1,1,1.0,0,-,0,0.016701199999261007,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
1,1,1.0,0,-,0,0.016755199999352044,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
1,1,1.0,0,-,0,0.016561800000090443,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
1,1,1.0,180,-,180,1.7007525999997597,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
1,1,1.0,180,-,180,0.16334699999970326,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
1,1,1.0,180,-,180,0.01671600000008766,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
1,1,1.0,0,-,0,0.6409488999997848,-,-,-,9,9,10,10,0.9,0.9,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
2,1,0.15,0,-,0,0.5586112000000867,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
2,1,0.15,0,-,0,0.12259679999988293,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
2,1,0.4,0,-,0,0.20782559999952355,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
2,1,0.4,180,-,180,0.016920599999139085,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
2,1,0.15,0,-,0,0.41920290000052773,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
2,1,0.15,180,-,180,0.6604521999997814,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
2,1,0.15,180,-,0,0.3084668999999849,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
2,1,0.15,180,-,180,0.5550102000006518,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
2,1,0.15,180,-,0,1.0552420000003622,-,-,-,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
2,1,0.15,0,-,0,0.5031873999996606,-,-,-,8,2,10,2,0.8,1.0,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
3,2,1.0,180,0,180,4.686562899999444,['y'],3.5643621999997777,2,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
3,2,1.0,0,180,0,0.9835989000002883,['y'],1.5858252999996694,2.0,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
3,2,1.0,180,0,180,2.467059600000539,['y'],2.872304599999552,2.0,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
3,2,1.0,180,0,180,2.0223650999996607,['y'],1.7348464999995485,2.0,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
3,2,1.0,0,180,180,1.4174878000003446,['y'],1.4591427000004842,2.0,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
3,2,1.0,180,0,0,1.0047702000001664,['y'],1.6624673000005714,2.0,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
3,2,1.0,0,180,180,0.9681456999996954,['y'],1.2824143000007098,2.0,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
3,2,1.0,180,0,0,0.732756800000061,['y'],1.3288185999999769,2.0,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
3,2,1.0,180,0,0,1.193186099999366,['y'],1.6749761000000944,2.0,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
3,2,1.0,0,180,180,0.8930717000002915,['y'],1.1936955999999554,2.0,,,,,,,,566,18,Woman,Right,,,,,,,,,,,,,,,,,566,18,Woman,Right,
