p_block,p_section,p_coherence,p_direction1,p_direction2,p_direction_response,p_direction_RT,p_change_response,p_change_RT,p_confidence,p_full_correct,p_without5_correct,p_full_total,p_without5_total,p_full_avg,p_witout5_avg,p_total_time,sub,age,sex,handedness,loop,trial randomization,coherence,condition,direction1,direction2,direction_response,direction_RT,change_response,change_RT,change_confidence,change_confidence_RT,block_direction_avg,block_stable_avg,block_change_avg,total_time,sub,age,sex,handedness,
1,1,1.0,0,-,0,2.297775200000615,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
1,1,1.0,180,-,180,0.01662699999724282,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
1,1,1.0,180,-,180,0.09028020000550896,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
1,1,1.0,180,-,180,0.03018090000114171,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
1,1,1.0,180,-,180,4.253384700001334,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
1,1,1.0,180,-,180,0.44685649999883026,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
1,1,1.0,0,-,0,0.01656679999723565,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
1,1,1.0,180,-,180,0.2758324000024004,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
1,1,1.0,180,-,180,0.3833654999980354,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
1,1,1.0,180,-,180,0.29603660000429954,-,-,-,10,10,10,10,1.0,1.0,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
2,1,0.4,180,-,180,0.596861700003501,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
2,1,0.4,180,-,180,0.21205200000258628,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
2,1,0.4,180,-,0,0.4194047000055434,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
2,1,0.15,0,-,0,1.1455801000047359,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
2,1,0.15,0,-,180,0.7003996000057668,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
2,1,0.4,180,-,180,0.21371450000151526,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
2,1,0.15,0,-,0,0.24448259999917354,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
2,1,0.4,0,-,0,0.3835077999974601,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
2,1,0.15,0,-,180,0.4346905999991577,-,-,-,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
2,1,0.15,180,-,180,0.17665220000344561,-,-,-,7,4,10,5,0.7,0.8,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
3,2,1.0,180,0,0,2.2710978999966756,['y'],4.732319700000517,2,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
3,2,1.0,180,0,0,1.3717757999984315,['y'],3.0209977999984403,2.0,,,,,,,,510,19,Woman,Right,,,,,,,,,,,,,,,,,510,19,Woman,Right,
