p_block,p_section,p_coherence,p_direction1,p_direction2,p_direction_response,p_direction_RT,p_change_response,p_change_RT,p_confidence,p_full_correct,p_without5_correct,p_full_total,p_without5_total,p_full_avg,p_witout5_avg,p_total_time,sub,age,sex,handedness,loop,trial randomization,coherence,condition,direction1,direction2,direction_response,direction_RT,change_response,change_RT,change_confidence,change_confidence_RT,block_direction_avg,block_stable_avg,block_change_avg,total_time,sub,age,sex,handedness,
1,1,1.0,0,-,0,1.150189699998009,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
1,1,1.0,0,-,0,0.3501421000037226,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
1,1,1.0,180,-,180,0.9625450999956229,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
1,1,1.0,180,-,180,0.36670630000298843,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
1,1,1.0,0,-,0,0.7063151999973343,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
1,1,1.0,180,-,180,0.35264440000173636,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
1,1,1.0,0,-,0,0.27663729999767384,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
1,1,1.0,0,-,0,0.4204096000030404,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
1,1,1.0,180,-,180,0.3739687999986927,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
1,1,1.0,180,-,180,0.44188459999713814,-,-,-,10,10,10,10,1.0,1.0,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
2,1,0.15,0,-,0,0.9212146999998367,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
2,1,0.15,180,-,0,0.3754389000023366,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
2,1,0.4,180,-,180,0.3149916999973357,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
2,1,0.4,180,-,180,0.24807059999875491,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
2,1,0.15,180,-,180,0.30468090000067605,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
2,1,0.4,0,-,0,0.017600099999981467,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
2,1,0.4,180,-,180,0.5606539000000339,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
2,1,0.15,180,-,180,0.2527180000033695,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
2,1,0.15,180,-,0,0.2686108999987482,-,-,-,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
2,1,0.4,180,-,180,0.30036549999931594,-,-,-,8,5,10,5,0.8,1.0,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
3,2,1.0,180,0,180,1.4339276000027894,['y'],6.5777854999978445,1.914,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
3,2,1.0,0,180,0,3.784175900000264,['y'],2.1958092999993823,1.756,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
3,2,1.0,0,180,180,0.7851823000019067,['y'],1.428723600001831,2.0,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
3,2,1.0,180,0,0,0.8506437000032747,['y'],0.348606400002609,2.0,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
3,2,1.0,0,180,180,0.8192724999971688,['y'],0.42343519999849377,2.0,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
3,2,1.0,180,0,0,0.5766389000054915,['y'],0.36758360000385437,1.79,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
3,2,1.0,0,180,180,0.5038869999989402,['y'],0.28944520000368357,2.0,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
3,2,1.0,180,0,0,1.5919432999944547,['y'],0.39220840000052704,1.788,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
3,2,1.0,0,180,180,0.30120800000440795,['y'],0.11342259999946691,2.0,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
3,2,1.0,0,180,180,0.35962109999672975,['y'],0.28280549999908544,2.0,8,8,10,10,0.8,0.8,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
4,2,0.4,0,180,180,0.7890648999964469,['y'],0.4397587999992538,1.8860000000000001,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
4,2,0.4,180,0,0,0.4664909999992233,['y'],0.31661439999879804,1.814,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
4,2,0.4,180,0,0,0.43398989999695914,['y'],0.2860517000008258,1.8679999999999999,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
4,2,0.15,180,0,180,1.3238970000020345,['y'],0.3079423999952269,1.798,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
4,2,0.15,0,180,0,0.6544166000021505,['n'],0.3061283999995794,1.478,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
4,2,0.15,180,0,0,0.6157953000001726,['y'],0.2945765999975265,1.68,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
4,2,0.4,180,0,0,0.30583150000165915,['y'],0.3095898999963538,1.862,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
4,2,0.15,180,0,0,0.30671609999990324,['y'],0.2787592000022414,1.842,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
4,2,0.4,180,0,0,0.26913210000202525,['y'],0.2746739000067464,1.836,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
4,2,0.4,0,180,180,0.30961479999677977,['y'],0.28303849999792874,1.8639999999999999,8,6,10,6,0.8,1.0,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
5,3,1.0,0,180,180,0.39492410000093514,['y'],0.32796040000539506,2.0,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
5,3,0.4,180,0,0,0.500960400000622,['y'],0.3260967999958666,1.934,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
5,3,0.4,180,0,0,0.5254358000020147,['y'],0.30347729999630246,1.908,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
5,3,1.0,180,0,0,0.2865333000008832,['y'],0.29050119999737944,1.964,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
5,3,0.4,180,0,0,0.2554717000020901,['y'],0.35739530000137165,1.91,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
5,3,0.4,0,-,0,1.5983865000016522,['n'],0.26427800000237767,1.88,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
5,3,1.0,180,0,0,0.4851146999935736,['y'],0.2682264000031864,1.88,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
5,3,1.0,0,180,180,0.2656743000043207,['y'],0.23398550000274554,1.884,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
5,3,0.15,0,180,180,0.7106980000025942,['n'],0.26987979999830713,1.6,,,,,,,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
5,3,1.0,180,0,0,0.4077882999990834,['y'],0.268672999998671,1.804,10,9,10,9,1.0,1.0,,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,4.399997123982757e-06,519,18,Woman,Right,,,,,,,,,,,,,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,50,0.15,1,180,-,0,1.488014499998826,['n'],3.395780699996976,1.794,252.01910170000338,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,47,0.15,2,180,0,0,0.6186181999946712,['n'],1.629432200003066,1.816,257.85167920000094,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,31,0.4,2,180,0,0,0.29152130000147736,['y'],1.6698883999997634,1.97,262.8365771000026,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,61,0.15,2,0,180,180,0.8238392000057502,['n'],0.8536583000022802,1.6560000000000001,268.635008199999,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,28,0.4,1,0,-,0,0.7084077999970759,['n'],1.0716610000017681,1.78,273.15178749999905,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,17,0.4,2,0,180,180,0.5229468000034103,['y'],0.7678329999980633,1.77,277.18505359999835,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,20,0.4,1,0,-,0,1.0927837999988697,['n'],0.800334000006842,1.294,282.1849770999979,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,24,0.4,1,0,-,180,0.4000151000000187,['y'],1.1207066999995732,1.564,286.551736399997,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,23,0.4,2,180,0,0,0.2909826000031899,['y'],1.0244430000020657,1.912,291.01881980000326,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,53,0.15,2,0,180,180,0.4530808999988949,['n'],0.8097602000052575,1.686,294.9691888000016,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,51,0.15,2,180,0,0,1.8018195999975433,['n'],1.2342532999973628,1.5979999999999999,300.969210700001,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,8,0.4,1,0,-,0,0.4045613999987836,['y'],2.2508730000045034,1.788,306.43580369999836,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,74,0.15,1,180,-,180,0.4020710000040708,['y'],0.6675255999944056,1.692,310.10190390000207,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,35,0.4,2,180,0,0,0.34730600000330014,['y'],0.699895199999446,1.69,313.8185233999975,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,69,0.15,2,0,180,180,0.32356240000081016,['n'],0.7089155000066967,1.69,317.9352203000017,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,16,0.4,1,0,-,0,0.3527195999995456,['n'],0.8608733999935794,1.708,322.8361468000003,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,14,0.4,1,180,-,180,0.5445302000007359,['n'],0.5495441000020946,1.702,327.4693084000028,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,75,0.15,2,180,0,0,0.5837644999992335,['n'],0.8979358000069624,1.764,331.8518935000029,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,34,0.4,1,180,-,180,0.897521400002006,['n'],0.42220009999437025,1.754,335.6192547000028,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,48,0.15,1,0,-,0,0.3031212000059895,['n'],0.6952354000022751,1.752,339.1193615000011,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,76,0.15,1,0,-,180,1.4677272000044468,['y'],1.4080514000015683,1.3900000000000001,345.05207569999766,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,29,0.4,2,0,180,180,0.7013181000002078,['y'],0.9845054000033997,1.6059999999999999,349.8687226000038,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,25,0.4,2,0,180,180,0.36550350000470644,['y'],1.0171951000011177,1.806,353.76943040000333,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,41,0.4,2,0,180,180,0.35020280000026105,['y'],0.5772609999985434,1.986,357.26867309999943,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,38,0.4,1,180,-,180,0.3970562999966205,['n'],1.417972600000212,1.914,361.5186776999981,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,0,1,1,0,-,0,0.34678859999985434,['n'],1.5715168999959133,1.912,365.8190689000039,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,59,0.15,2,180,0,180,0.41706060000433354,['n'],0.9312745999995968,1.912,369.503005999999,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,52,0.15,1,0,-,0,0.9891245999970124,['n'],0.6912502000050154,1.688,373.72008910000295,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,22,0.4,1,180,-,180,0.37091359999612905,['n'],0.6755397000015364,1.678,377.1362767000028,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,66,0.15,1,180,-,180,0.33185239999875193,['n'],0.5000602000000072,1.678,380.3188000000009,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,46,0.15,1,180,-,180,0.3197906000059447,['n'],0.6845530999999028,1.678,384.0192812000023,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,26,0.4,1,180,-,180,0.7120739999954822,['n'],4.013943999998446,1.9020000000000001,391.4023176999981,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,62,0.15,1,180,-,180,0.31962810000550235,['n'],1.6784216000014567,1.858,395.76956659999996,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,79,0.15,2,180,0,0,0.4499275999987731,['y'],0.951072000003478,1.676,400.1022148999982,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,6,1,1,180,-,180,0.4944790000008652,['n'],1.5030111000014585,1.6059999999999999,404.76954549999937,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,9,0.4,2,0,180,180,0.5994984999997541,['y'],0.6394317999947816,1.772,408.7357864000005,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,73,0.15,2,0,180,180,0.40544930000032764,['y'],0.7601604000010411,1.782,412.55301920000056,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,70,0.15,1,180,-,180,0.450687000004109,['y'],0.9692235000038636,1.782,416.2856183999975,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,2,1,1,180,-,180,1.070329500005755,['y'],0.6973992999992333,1.362,420.5363875999974,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,10,0.4,1,180,-,180,0.580032999998366,['n'],1.4102548000009847,1.778,425.48571059999813,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,55,0.15,2,180,0,0,0.3126087999989977,['y'],1.0748384999969858,1.778,429.0689815000005,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,58,0.15,1,180,-,180,0.3528851000010036,['y'],0.7151768000039738,1.6099999999999999,433.0189934000009,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,27,0.4,2,180,0,0,0.3038998999982141,['y'],0.9552703000008478,1.796,436.9190457000004,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,71,0.15,2,180,0,0,0.3326355999961379,['y'],0.8993575999993482,1.794,440.4690628000026,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,11,0.4,2,180,0,0,1.0446130999989691,['y'],0.6127549000011641,1.782,444.5032235000035,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,32,0.4,1,0,-,0,0.6133153999981005,['y'],0.5169639000014286,1.782,448.002384600004,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,4,1,1,0,-,180,1.0335583000050974,['y'],0.4376674000013736,1.782,451.8698089000027,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,54,0.15,1,180,-,180,0.604428899998311,['n'],0.7104061999998521,1.63,455.88644660000136,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,19,0.4,2,180,0,0,0.3566774999999325,['y'],0.5823796000040602,1.624,459.1024863999992,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,45,0.15,2,0,180,180,0.6646720999997342,['y'],0.3583020999940345,1.522,463.0194782000035,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,60,0.15,1,0,-,0,1.3807978000040748,['n'],0.4149198999948567,1.432,467.3699048999988,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,65,0.15,2,0,180,180,0.6984325000012177,['y'],0.6318524000016623,1.6520000000000001,471.2191837999999,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,40,0.4,1,0,-,180,0.37466189999395283,['y'],0.8243671000018367,1.6179999999999999,475.2030300999977,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,42,0.4,1,180,-,180,0.3922450999962166,['n'],0.9366312999991351,1.6059999999999999,479.16929369999707,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,56,0.15,1,0,-,180,1.345415800002229,['n'],0.8812526999972761,1.264,484.4036456000031,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,18,0.4,1,180,-,180,0.4588711999967927,['n'],1.1927880000002915,1.6019999999999999,489.402605700001,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,72,0.15,1,0,-,180,0.45032630000059726,['n'],0.970281600006274,1.49,493.4863202999986,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,64,0.15,1,0,-,0,0.4660622000010335,['n'],1.1229259999963688,1.084,497.7526433000021,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,36,0.4,1,0,-,180,0.40688609999779146,['y'],0.8994719999973313,1.674,501.9861374000029,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,49,0.15,2,0,180,180,0.46884940000018105,['n'],1.6194972000012058,1.676,506.5700270000016,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,30,0.4,1,180,-,180,0.577144999995653,['n'],0.6929955000014161,1.678,510.26951910000207,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,39,0.4,2,180,0,0,0.3346705000003567,['y'],1.1253485999986879,1.798,514.2860164000012,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,15,0.4,2,180,0,0,0.4470221000010497,['y'],0.7889207000043825,1.98,517.8035115000021,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,63,0.15,2,180,0,180,2.4257194999954663,['n'],1.2862235000065994,1.936,523.6365231000018,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,3,1,2,180,0,0,0.9499011000007158,['y'],0.4346464000045671,1.92,528.1696321999989,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,1,1,2,0,180,180,0.4875661999976728,['y'],0.6789290000015171,1.998,531.636791500001,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,67,0.15,2,180,0,0,0.4729271000032895,['y'],0.8635779999967781,1.724,535.5367183999988,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,7,1,2,180,0,0,0.7080295999985537,['y'],1.0483509999976377,1.724,539.5535418,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,37,0.4,2,0,180,180,1.722080300001835,['y'],0.696845200000098,1.724,544.3868465999985,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,44,0.15,1,0,-,180,2.10350859999744,['y'],0.6819735000026412,1.63,549.6037483000036,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,12,0.4,1,0,-,180,0.7865769999989425,['n'],1.1064612999980454,1.52,554.0529251999978,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,5,1,2,0,180,180,0.3615133999992395,['y'],0.7542740999997477,1.772,557.6202526999987,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,33,0.4,2,0,180,180,0.3610608000017237,['y'],0.4270892000058666,1.994,561.1528639000026,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,78,0.15,1,180,-,0,1.6604139000046416,['n'],0.4908789999972214,1.634,566.4696996999992,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,77,0.15,2,0,180,180,1.604445000004489,['y'],1.708068900006765,1.346,573.354425700003,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,21,0.4,2,0,180,180,2.3929149999967194,['y'],0.7726505999962683,1.654,579.3037030999985,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,68,0.15,1,0,-,0,0.3358594000019366,['y'],0.9732769000038388,1.71,583.1874766999972,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,43,0.4,2,180,0,0,0.2592581999997492,['y'],0.6220000000030268,1.692,586.3703995000033,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,57,0.15,2,0,180,180,1.3473324999940814,['y'],0.39813920000597136,1.784,590.4369843000022,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,0,13,0.4,2,0,180,180,0.5069864000033704,['y'],0.3903236000041943,1.822,593.6195931000038,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,13,0.4,2,0,180,180,2.4337476000000606,['y'],0.8813348000039696,1.8679999999999999,617.9871771000035,83.75,67.5,77.5,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,27,0.4,2,180,0,0,0.547726100005093,['y'],0.5542411999995238,1.84,621.2363509999996,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,33,0.4,2,0,180,180,0.8336816000010003,['y'],0.4745602999973926,1.806,625.3209754999989,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,37,0.4,2,0,180,180,0.3545458000007784,['y'],0.7719890000007581,1.914,629.2698415999985,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,64,0.15,1,0,-,0,0.8087248000010732,['n'],0.6995858999944176,1.904,633.2534548999975,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,57,0.15,2,0,180,180,1.272477099999378,['y'],1.2841610000032233,1.3940000000000001,638.9031923000002,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,18,0.4,1,180,-,180,1.037062800001877,['n'],1.0452762999993865,1.6099999999999999,643.6205145999993,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,69,0.15,2,0,180,180,0.5784851999997045,['y'],0.8531900000016321,1.434,647.5871752000021,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,58,0.15,1,180,-,0,1.4680911999967066,['n'],0.6223031000045012,1.58,652.3872494000025,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,19,0.4,2,180,0,0,0.49096540000027744,['y'],0.7107299000053899,1.724,656.0039859000026,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,12,0.4,1,0,-,0,0.8697555000035209,['n'],0.7033179999998538,1.764,659.8365846000015,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,31,0.4,2,180,0,0,0.28451000000495696,['y'],0.7833412999971188,1.758,662.9875419000018,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,5,1,2,0,180,180,0.4655161999980919,['y'],0.7126081000023987,1.926,666.4874609000035,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,72,0.15,1,0,-,180,1.6690330999990692,['n'],0.9445879999984754,1.8980000000000001,671.4372858999996,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,46,0.15,1,180,-,180,1.2101015000007465,['n'],0.6492851000002702,1.62,675.9207404999979,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,34,0.4,1,180,-,180,2.0086258000010275,['n'],0.47407599999860395,1.914,681.2533783000035,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,28,0.4,1,0,-,0,0.4985229000012623,['n'],0.6899486000038451,1.666,685.0041574999996,,,,,519,18,Woman,Right,
,,,,,,,,,,,,,,,,,519,18,Woman,Right,1,65,0.15,2,0,180,180,0.7305452999935369,['y'],0.7308231999995769,1.612,689.0367437000023,,,,,519,18,Woman,Right,
