p_block,p_section,p_coherence,p_direction1,p_direction2,p_direction_response,p_direction_RT,p_change_response,p_change_RT,p_confidence,p_full_correct,p_without5_correct,p_full_total,p_without5_total,p_full_avg,p_witout5_avg,p_total_time,sub,age,sex,handedness,loop,trial randomization,coherence,condition,direction1,direction2,direction_response,direction_RT,change_response,change_RT,change_confidence,change_confidence_RT,block_direction_avg,block_stable_avg,block_change_avg,total_time,sub,age,sex,handedness,
1,1,1.0,180,-,180,1.620398699999896,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,180,-,0,0.6131772000001092,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,180,-,180,0.5109886000000188,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,0,-,180,0.9172610000000532,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,0,-,0,0.4747511000000486,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,180,-,180,0.4589542999999594,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,180,-,0,0.6167938000000959,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,0,-,180,1.1722319000000425,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,180,-,0,0.4475867000001017,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,180,-,0,1.1285021999999572,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,0,-,0,0.44544820000010077,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,180,-,180,0.5908399000002191,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,0,-,0,0.43305430000009437,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,0,-,180,0.43419380000000274,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,0,-,0,0.435424600000033,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,180,-,0,0.7074976000001243,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,180,-,180,0.42583829999989575,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,0,-,0,0.4333979000000454,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,0,-,0,0.27539600000000064,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
1,1,1.0,180,-,180,0.016684899999972913,-,-,-,8,8,10,10,0.8,0.8,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
2,1,0.4,180,-,180,0.7169263000000683,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
2,1,0.15,180,-,0,0.7043264000001273,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
2,1,0.15,0,-,180,0.3825303000000986,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
2,1,0.4,0,-,0,0.3126073999999335,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
2,1,0.15,180,-,180,0.39890260000015587,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
2,1,0.4,180,-,180,0.39287239999998746,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
2,1,0.15,180,-,0,0.523565200000121,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
2,1,0.15,180,-,180,0.3371343999999681,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
2,1,0.15,180,-,180,0.3733465000000251,-,-,-,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
2,1,0.15,180,-,0,1.1930107999999109,-,-,-,6,3,10,3,0.6,1.0,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
3,2,1.0,180,0,0,4.683418100000381,['y'],5.559633500000018,1.966,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
3,2,1.0,0,180,180,1.301555499999722,['y'],6.71617359999982,1.756,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
3,2,1.0,180,0,0,1.2917159999997239,['y'],2.4435340999998516,1.682,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
3,2,1.0,0,180,180,1.3409618999999111,['y'],1.71636239999998,1.754,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
3,2,1.0,180,0,0,0.7422465999998167,['y'],0.6230071999998472,1.696,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
3,2,1.0,0,180,180,0.8319163999999546,['y'],3.4064948000000186,1.874,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
3,2,1.0,180,0,0,0.8039312999999311,['y'],0.5801307000001543,1.826,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
3,2,1.0,180,0,0,0.6849105999999665,['y'],0.8753818000000138,1.8940000000000001,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
3,2,1.0,180,0,180,2.866378199999872,['y'],0.6742598999999245,1.236,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
3,2,1.0,180,0,0,0.4717262999997729,['y'],0.3048435000000609,1.8860000000000001,9,9,10,10,0.9,0.9,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
4,2,0.15,0,180,180,1.588424799999757,['y'],1.6191083000003346,1.506,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
4,2,0.4,0,180,180,0.6914147000002231,['y'],0.5112312000001111,1.482,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
4,2,0.15,0,180,180,0.7342327000001205,['y'],0.3124140999998417,1.504,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
4,2,0.15,180,0,0,0.7025632999998379,['y'],0.8590530999999828,1.514,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
4,2,0.4,0,180,180,0.49524719999999434,['y'],0.7741344999999455,1.504,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
4,2,0.15,0,180,180,2.4547159000003376,['y'],0.9201938000001064,1.508,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
4,2,0.4,180,0,0,3.92220559999987,['y'],0.7543169999999009,1.496,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
4,2,0.15,0,180,180,0.5397656999998617,['y'],0.7099502000000939,1.498,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
4,2,0.15,0,180,0,1.0780712000000676,['y'],0.7231811999999991,1.496,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
4,2,0.15,0,180,180,0.839171499999793,['y'],0.6630832000000737,1.492,9,3,10,3,0.9,1.0,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
5,3,1.0,0,-,0,0.9350882000003367,['y'],1.0072085000001607,1.51,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
5,3,0.15,180,-,180,3.365363299999899,['n'],0.3653586999998879,1.498,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
5,3,0.15,0,-,180,3.263937799999894,['n'],0.37490980000029595,1.506,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
5,3,1.0,0,180,180,0.7791035999998712,['y'],0.3979874999999993,1.57,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
5,3,0.4,180,-,0,1.8751617999996597,['y'],0.29909219999990455,1.49,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
5,3,0.4,180,0,0,2.073745200000303,['y'],0.6353611999998066,1.494,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
5,3,0.15,180,0,0,1.6922641999999541,['n'],0.3346222000000125,1.49,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
5,3,0.15,180,-,180,1.4512695000003077,['n'],0.655733500000224,1.494,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
5,3,0.15,180,-,0,0.5195896999998695,['y'],3.7458600999998453,1.494,,,,,,,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
5,3,0.4,180,-,180,0.8990091999999095,['n'],0.30446729999994204,1.498,7,4,10,5,0.7,0.8,,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,5.100000180391362e-06,560,19,Woman,Right,,,,,,,,,,,,,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,51,0.15,2,180,0,180,0.609799099999691,['n'],4.723117200000161,1.3479999999999999,364.78429689999984,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,35,0.4,2,180,0,180,1.7903831999997237,['y'],1.1556868000002396,1.496,372.1509774000001,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,58,0.15,1,180,-,0,4.8170336999996834,['n'],1.263685500000065,1.254,382.4010493999999,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,8,0.4,1,0,-,180,2.9769483000000037,['y'],1.750487400000111,1.492,390.5676104999998,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,29,0.4,2,0,180,0,6.5795954000000165,['y'],0.21562730000005104,1.278,401.36768299999994,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,31,0.4,2,180,0,0,2.276246099999753,['y'],1.4645267000000786,1.616,408.8346327999998,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,66,0.15,1,180,-,180,2.1979723999997987,['y'],0.9213714000002255,1.3559999999999999,417.5510039999999,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,55,0.15,2,180,0,180,2.396917399999893,['n'],1.1063031999997293,1.496,425.0844108000001,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,43,0.4,2,180,0,0,0.9300163999996585,['y'],1.3394775000001573,1.596,430.88442269999996,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,61,0.15,2,0,180,180,2.8841860999996243,['n'],1.1546582000000853,1.504,440.10101459999987,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,0,1,1,0,-,0,1.5114306000000397,['y'],1.1248614999999518,1.506,446.68469430000005,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,74,0.15,1,180,-,0,1.9896485999997822,['n'],1.1899437000001853,1.494,452.86775350000016,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,65,0.15,2,0,180,180,0.8897579999998015,['y'],1.2224648999999772,1.492,458.31804009999996,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,67,0.15,2,180,0,0,1.1548625000000357,['n'],1.0071898999999576,1.502,464.8179679,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,54,0.15,1,180,-,0,1.219695899999806,['n'],1.0719961999998304,1.498,470.3677275,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,26,0.4,1,180,-,0,0.6670161000001826,['n'],1.392848999999842,1.49,475.33453929999996,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,13,0.4,2,0,180,180,0.7995122000002084,['y'],1.0494694999997591,1.7,481.1844737000001,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,42,0.4,1,180,-,180,2.1502494000001207,['n'],1.1289680999998382,1.512,487.4678386999999,,,,,560,19,Woman,Right,
,,,,,,,,,,,,,,,,,560,19,Woman,Right,0,50,0.15,1,180,-,180,1.7348790999999437,['n'],0.6669409000000996,1.492,493.1846233000001,,,,,560,19,Woman,Right,
