p_block,p_section,p_coherence,p_direction1,p_direction2,p_direction_response,p_direction_RT,p_change_response,p_change_RT,p_confidence,p_full_correct,p_without5_correct,p_full_total,p_without5_total,p_full_avg,p_witout5_avg,p_total_time,sub,age,sex,handedness,loop,trial randomization,coherence,condition,direction1,direction2,direction_response,direction_RT,change_response,change_RT,change_confidence,change_confidence_RT,block_direction_avg,block_stable_avg,block_change_avg,total_time,sub,age,sex,handedness,
1,1,1.0,180,-,180,0.4154465000001437,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
1,1,1.0,0,-,0,1.0488006000000496,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
1,1,1.0,0,-,0,0.8088420999999926,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
1,1,1.0,0,-,0,0.21092270000008284,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
1,1,1.0,180,-,180,0.6126782999999705,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
1,1,1.0,180,-,180,0.4626954000000296,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
1,1,1.0,0,-,0,0.1667909000000236,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
1,1,1.0,0,-,0,0.16985619999991286,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
1,1,1.0,0,-,0,0.4456566000001203,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
1,1,1.0,180,-,180,0.4619979000001422,-,-,-,10,10,10,10,1.0,1.0,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
2,1,0.15,0,-,0,1.3338481999999203,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
2,1,0.4,0,-,0,0.5664630999999645,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
2,1,0.15,0,-,180,0.8016740999999001,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
2,1,0.15,180,-,180,0.5243435999998383,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
2,1,0.4,0,-,180,1.2253521999998611,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
2,1,0.4,180,-,180,0.41101930000013454,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
2,1,0.4,180,-,180,0.36528530000009596,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
2,1,0.4,0,-,0,0.33677140000008876,-,-,-,,,,,,,,554,18,Woman,Right,,,,,,,,,,,,,,,,,554,18,Woman,Right,
