p_block,p_section,p_coherence,p_direction1,p_direction2,p_direction_response,p_direction_RT,p_change_response,p_change_RT,p_confidence,p_full_correct,p_without5_correct,p_full_total,p_without5_total,p_full_avg,p_witout5_avg,p_total_time,sub,age,sex,handedness,loop,trial randomization,coherence,condition,direction1,direction2,direction_response,direction_RT,change_response,change_RT,change_confidence,change_confidence_RT,block_direction_avg,block_stable_avg,block_change_avg,total_time,sub,age,sex,handedness,
1,1,1.0,0,-,0,1.0856518999999025,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
1,1,1.0,180,-,180,0.39651309999999285,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
1,1,1.0,0,-,0,0.6553237000000536,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
1,1,1.0,180,-,180,0.399343300000055,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
1,1,1.0,180,-,180,0.016687199999978475,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
1,1,1.0,180,-,180,0.016710600000124032,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
1,1,1.0,180,-,180,0.016116900000042733,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
1,1,1.0,180,-,180,0.01667999999995118,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
1,1,1.0,0,-,0,0.7903112999999848,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
1,1,1.0,0,-,0,0.01677489999997306,-,-,-,10,10,10,10,1.0,1.0,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
2,1,0.4,180,-,180,0.4833856000000196,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
2,1,0.4,0,-,0,0.3878418000001602,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
2,1,0.4,180,-,180,0.28667270000005374,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
2,1,0.15,0,-,0,0.016710399999965375,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
2,1,0.15,180,-,0,0.1504227999998875,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
2,1,0.4,180,-,180,0.016488900000013018,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
2,1,0.15,0,-,0,0.016998399999920366,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
2,1,0.4,0,-,180,0.38111770000000433,-,-,-,,,,,,,,552,18,Woman,Right,,,,,,,,,,,,,,,,,552,18,Woman,Right,
